test_loss,test_acc,epoch,step,train_loss,train_acc
2.6821982860565186,0.4503205120563507,0,117,,
,,0,117,2.8467659950256348,0.19226695597171783
2.427229642868042,0.5528846383094788,1,235,,
,,1,235,2.587836265563965,0.4163135588169098
2.209078550338745,0.5881410241127014,2,353,,
,,2,353,2.369354248046875,0.5148305296897888
